City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Amritsar,2018-06-19,39.78,171.73,23.1,15.08,38.19,5.6,0.0,7.19,46.14,0.73,2.64,4.7,154.0,Moderate
Visakhapatnam,2016-10-26,63.31,96.76,21.42,67.62,48.9,19.04,1.21,15.88,44.27,7.87,15.33,10.78,110.0,Moderate
Hyderabad,2017-05-09,32.95,91.33,5.63,41.36,9.72,38.95,0.06,10.25,53.25,0.06,0.76,0.13,109.0,Moderate
Hyderabad,2018-12-04,77.72,147.65,6.32,47.55,29.22,12.49,0.76,8.53,37.26,3.19,21.43,5.61,154.0,Moderate
Delhi,2018-09-23,30.71,54.77,7.37,19.88,16.84,22.73,0.67,11.59,28.89,1.4,17.36,0.0,69.0,Satisfactory
Amritsar,2018-02-19,52.41,166.21,15.9,13.27,39.88,11.08,0.71,3.54,16.97,10.46,7.72,6.35,139.0,Moderate
Hyderabad,2017-06-06,17.77,57.12,7.71,21.89,6.76,17.36,0.09,4.06,54.65,0.02,0.46,0.22,97.0,Satisfactory
Amritsar,2018-07-11,28.48,46.52,9.4,10.06,19.46,7.42,0.47,7.25,30.39,0.63,2.06,3.95,81.0,Satisfactory
Amaravati,2018-08-30,28.45,81.89,6.68,19.36,15.81,20.7,1.39,9.78,29.76,0.1,0.07,0.1,87.0,Satisfactory
Delhi,2019-12-08,239.98,355.16,109.28,68.59,137.04,58.01,2.88,13.69,32.51,8.02,58.12,5.55,404.0,Severe
Visakhapatnam,2016-11-20,66.78,107.4,15.84,63.11,42.55,10.25,1.53,16.82,56.55,8.63,12.55,12.29,119.0,Moderate
Delhi,2019-12-28,275.6,426.12,60.13,55.98,83.47,50.47,1.96,10.26,27.92,6.7,39.22,0.4,425.0,Severe
Delhi,2018-06-09,52.79,136.75,10.94,27.39,36.36,40.4,0.9,6.41,41.95,2.72,4.57,0.0,153.0,Moderate
Delhi,2018-05-15,67.23,177.03,13.34,39.81,43.92,49.62,1.91,11.9,62.52,1.85,3.06,0.0,173.0,Moderate
Hyderabad,2016-04-21,48.65,87.02,4.58,33.5,24.68,23.69,1.3,5.98,36.99,0.9,4.98,1.36,120.0,Moderate
Delhi,2020-01-01,372.14,483.87,109.53,64.18,135.0,56.85,3.15,18.49,39.58,8.5,60.79,1.38,492.0,Severe
Chandigarh,2020-06-27,35.55,68.82,0.59,6.79,4.02,46.74,0.3,7.42,43.33,3.09,0.29,0.72,79.0,Satisfactory
Delhi,2019-04-20,90.55,193.76,30.3,55.28,56.28,29.35,1.42,26.03,55.67,3.8,21.84,1.13,199.0,Moderate
Amaravati,2020-01-12,78.28,109.42,2.34,16.82,10.84,18.62,0.8,24.75,47.01,0.74,3.26,0.12,147.0,Moderate
Delhi,2020-03-10,84.35,160.91,14.46,30.22,29.74,30.99,0.84,17.21,47.66,2.35,15.58,0.42,186.0,Moderate
Amritsar,2017-11-24,141.64,270.82,82.14,49.18,130.87,12.55,2.31,14.29,54.87,8.3,10.98,17.59,302.0,Very Poor
Visakhapatnam,2019-02-07,118.36,278.92,58.1,85.31,92.62,22.25,1.57,28.7,53.62,5.47,9.11,2.66,283.0,Poor
Visakhapatnam,2020-02-15,68.69,143.74,2.76,50.22,28.05,13.53,1.29,8.56,23.43,5.32,15.73,2.74,140.0,Moderate
Visakhapatnam,2017-11-25,69.52,119.5,11.08,30.52,25.13,9.98,0.94,8.78,121.73,3.47,6.73,1.07,174.0,Moderate
Hyderabad,2017-11-10,44.44,83.57,10.18,35.39,27.05,14.36,0.59,22.05,55.83,4.61,29.47,3.52,100.0,Satisfactory
Visakhapatnam,2016-12-06,43.18,77.91,4.38,28.66,18.28,11.01,1.0,10.04,76.9,4.86,6.39,3.41,113.0,Moderate
Hyderabad,2017-02-26,64.09,163.99,10.4,44.5,12.84,29.14,0.22,26.83,57.97,0.25,3.35,2.7,165.0,Moderate
Delhi,2018-07-27,21.75,35.79,14.04,23.41,25.77,33.02,0.91,9.13,19.82,1.46,30.17,0.54,68.0,Satisfactory
Chandigarh,2020-06-18,28.75,72.21,0.69,8.61,4.82,28.94,0.31,8.31,49.32,3.06,0.39,0.62,72.0,Satisfactory
Hyderabad,2018-06-22,21.26,45.55,2.2,28.03,16.4,13.37,0.49,6.19,25.78,0.94,7.48,1.22,56.0,Satisfactory
Visakhapatnam,2016-09-09,46.08,91.88,12.73,36.83,27.44,12.77,0.69,34.53,40.09,5.72,13.73,6.06,96.0,Satisfactory
Visakhapatnam,2018-12-10,86.25,155.66,4.12,32.87,20.84,12.86,0.65,8.1,161.93,4.46,8.43,2.39,282.0,Poor
Visakhapatnam,2018-09-08,47.03,134.82,10.82,37.44,28.72,8.34,0.88,8.23,27.53,4.66,10.89,3.14,110.0,Moderate
Gurugram,2020-04-24,56.54,100.68,5.01,15.69,13.06,36.58,0.77,9.28,63.8,6.47,3.49,3.3,124.0,Moderate
Delhi,2019-12-03,140.07,241.56,53.47,60.85,82.31,38.81,1.49,11.37,32.57,4.31,31.72,0.65,302.0,Very Poor
Hyderabad,2017-05-27,26.99,79.38,4.45,30.37,7.75,18.74,0.07,4.17,43.41,0.01,0.27,0.08,103.0,Moderate
Amritsar,2020-04-15,32.05,75.31,20.86,18.96,28.66,15.16,0.73,6.55,23.62,1.26,1.5,1.83,68.0,Satisfactory
Delhi,2017-11-27,198.34,328.09,45.64,68.93,87.3,52.5,1.64,18.95,41.09,4.33,13.04,0.1,382.0,Very Poor
Delhi,2019-06-21,71.15,188.16,13.56,44.78,37.67,32.14,1.22,12.23,59.68,3.07,24.07,0.64,178.0,Moderate
Hyderabad,2018-06-27,17.64,46.04,4.42,28.07,18.17,15.93,0.26,4.6,15.07,0.28,2.36,0.28,44.0,Good
Amaravati,2017-12-10,50.32,102.77,1.73,33.85,19.41,12.56,0.1,13.65,68.15,0.2,4.29,0.1,132.0,Moderate
Visakhapatnam,2018-08-31,51.3,125.77,31.93,47.77,51.37,8.02,1.36,3.97,14.49,7.65,21.2,6.18,116.0,Moderate
Hyderabad,2018-04-11,27.63,72.09,5.0,31.01,20.42,16.36,0.68,6.12,31.17,1.19,5.38,1.18,88.0,Satisfactory
Visakhapatnam,2020-02-12,62.0,106.88,2.75,27.1,16.65,12.64,1.02,8.18,46.57,3.45,6.59,1.16,101.0,Moderate
Hyderabad,2020-03-31,42.42,72.92,5.47,19.9,14.38,10.08,0.49,7.31,37.4,1.86,6.36,0.29,68.0,Satisfactory
Visakhapatnam,2019-01-28,85.77,138.65,6.2,42.57,27.67,14.85,0.88,8.47,51.84,3.51,5.42,1.37,196.0,Moderate
Kolkata,2020-03-23,29.31,56.35,6.39,17.95,24.39,20.61,0.53,10.22,62.0,3.04,7.53,0.65,99.0,Satisfactory
Delhi,2015-04-14,77.07,132.68,13.41,42.65,50.06,36.68,6.85,14.04,55.44,2.13,7.25,2.0,232.0,Poor
Chandigarh,2019-12-06,77.58,135.81,44.31,10.6,41.3,44.06,0.96,10.33,9.78,8.15,0.65,0.15,186.0,Moderate
Chandigarh,2019-12-30,72.34,140.37,38.14,16.28,36.66,26.86,1.04,6.59,6.52,8.77,5.1,1.28,102.0,Moderate
Visakhapatnam,2018-07-24,41.99,137.9,9.11,38.59,27.93,11.81,0.58,11.7,18.61,6.29,10.04,3.78,127.0,Moderate
Visakhapatnam,2016-11-28,68.77,105.94,15.35,63.18,42.25,20.06,1.55,23.3,61.76,8.07,14.36,8.14,125.0,Moderate
Hyderabad,2016-03-31,43.84,89.56,3.5,10.39,12.31,10.31,0.66,4.58,42.02,0.69,3.52,0.72,92.0,Satisfactory
Amritsar,2018-02-03,55.78,138.44,70.91,65.5,150.96,15.15,0.77,2.79,14.2,13.55,8.71,7.37,168.0,Moderate
Kolkata,2019-10-13,69.61,108.35,15.77,29.86,45.64,9.41,0.74,6.85,32.84,11.91,12.83,3.65,116.0,Moderate
Visakhapatnam,2016-11-27,61.53,102.83,21.07,69.96,49.77,21.14,1.58,20.38,53.4,8.31,14.98,9.34,116.0,Moderate
Hyderabad,2020-04-29,16.03,37.73,7.11,22.21,16.46,10.4,0.41,3.67,29.77,0.69,4.17,0.04,51.0,Satisfactory
Visakhapatnam,2016-09-27,62.52,103.15,55.13,56.17,70.43,9.34,1.91,20.52,16.48,11.14,21.51,17.9,108.0,Moderate
Hyderabad,2017-08-20,7.42,10.54,6.9,8.85,5.15,4.45,0.15,4.18,37.5,0.0,0.4,0.09,59.0,Satisfactory
Visakhapatnam,2016-09-12,41.43,79.75,17.8,33.77,29.73,18.81,0.71,31.09,72.47,6.04,12.4,7.76,188.0,Moderate
Visakhapatnam,2018-11-14,72.47,131.34,3.42,21.2,14.06,10.68,0.75,8.52,133.4,3.96,5.55,1.38,170.0,Moderate
Delhi,2018-05-13,80.64,236.35,17.22,31.22,44.1,59.34,2.1,11.48,67.88,1.31,2.15,0.0,285.0,Poor
Visakhapatnam,2016-08-30,10.56,35.2,8.47,12.97,12.65,9.48,0.47,12.63,38.43,2.59,5.66,2.73,60.0,Satisfactory
Amritsar,2018-03-05,31.52,77.37,12.38,6.09,26.79,8.68,0.71,3.46,23.99,9.89,6.87,5.16,69.0,Satisfactory
Amritsar,2020-04-26,14.78,54.18,19.74,15.44,29.59,12.11,0.69,11.17,43.02,1.3,1.1,5.05,60.0,Satisfactory
Kolkata,2019-11-07,88.07,180.18,24.96,56.32,81.19,19.12,0.95,11.24,41.41,25.94,37.94,3.85,236.0,Poor
Delhi,2018-10-07,81.14,221.03,39.4,44.81,57.51,35.47,1.25,14.33,42.38,4.61,50.09,0.57,189.0,Moderate
Hyderabad,2018-01-05,76.33,160.28,12.4,63.88,41.36,23.67,1.05,15.67,52.74,3.5,20.49,6.1,164.0,Moderate
Amritsar,2017-11-19,106.43,224.99,56.49,12.22,68.71,10.81,1.05,5.24,21.02,4.3,7.9,13.38,206.0,Poor
Amaravati,2020-03-09,12.37,22.79,3.17,9.77,7.78,9.65,0.54,18.18,19.25,0.09,0.69,0.1,42.0,Good
Delhi,2019-08-04,46.69,88.15,17.79,30.9,34.32,34.25,1.13,9.96,27.25,2.13,21.93,0.29,101.0,Moderate
Hyderabad,2018-09-21,37.91,78.9,5.26,27.55,17.69,22.26,0.38,8.39,21.72,1.37,6.3,1.25,91.0,Satisfactory
Hyderabad,2020-01-04,57.96,106.32,9.94,29.78,22.36,15.35,0.7,6.3,27.61,0.53,2.84,0.05,87.0,Satisfactory
Amritsar,2019-05-05,74.98,145.44,103.44,69.8,44.3,62.39,0.94,7.94,33.14,4.78,2.2,10.98,114.0,Moderate
Gurugram,2020-05-21,51.41,130.77,15.32,24.81,24.8,22.2,0.92,10.07,71.0,5.94,3.06,2.0,141.0,Moderate
Amaravati,2017-12-03,87.14,130.52,0.97,21.31,12.12,14.36,0.15,11.41,114.8,0.23,3.82,0.04,227.0,Poor
Hyderabad,2018-10-14,54.35,111.45,6.53,36.76,24.31,14.78,0.47,9.08,27.41,4.0,40.2,14.87,108.0,Moderate
Hyderabad,2017-08-07,26.22,81.09,9.46,21.64,9.62,8.4,0.23,4.69,25.05,1.45,6.23,1.63,90.0,Satisfactory
Hyderabad,2018-07-20,12.58,32.59,4.27,22.18,14.61,17.89,0.31,9.52,13.12,0.88,3.02,0.34,37.0,Good
Hyderabad,2019-12-01,61.97,115.41,7.3,32.04,22.23,14.62,0.7,5.92,23.4,5.02,24.32,6.33,127.0,Moderate
Chandigarh,2020-04-30,21.39,59.34,1.7,10.33,6.78,34.73,0.56,13.18,20.02,3.12,0.5,1.02,54.0,Satisfactory
Visakhapatnam,2017-02-01,93.11,149.8,18.12,41.89,36.92,12.94,1.36,9.69,39.06,10.62,12.36,5.19,221.0,Poor
Amaravati,2020-01-31,26.72,53.9,3.71,15.53,11.29,15.51,0.49,19.06,32.28,0.34,0.8,0.12,66.0,Satisfactory
Amritsar,2018-02-09,69.65,162.02,16.51,49.28,65.6,4.9,0.64,7.24,18.68,10.41,8.28,6.94,138.0,Moderate
Delhi,2019-06-03,66.94,300.7,11.7,30.33,26.82,43.32,1.03,12.64,60.03,1.79,8.62,0.11,232.0,Poor
Amritsar,2017-12-04,108.22,214.5,47.23,7.36,54.59,2.19,1.48,4.54,18.64,5.09,9.61,16.63,266.0,Poor
Patna,2020-06-08,18.17,74.52,56.15,19.35,42.41,7.15,0.74,2.8,24.1,2.18,3.41,0.66,100.0,Satisfactory
Delhi,2019-12-24,262.69,401.03,38.02,56.72,64.46,53.3,1.76,8.7,28.17,5.75,38.29,0.82,376.0,Very Poor
Amaravati,2019-08-06,6.89,13.83,2.96,6.48,5.95,6.28,0.34,13.35,21.06,0.06,0.61,0.12,32.0,Good
Delhi,2019-10-16,146.37,279.78,39.0,53.03,62.13,38.12,1.77,13.22,55.69,5.51,36.51,4.29,320.0,Very Poor
Amaravati,2017-12-28,89.95,175.16,10.95,64.53,43.23,18.87,0.27,15.52,62.49,0.36,4.12,0.23,225.0,Poor
